------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File          Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+----------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 PROGRAMD.S      1 | Comment     | 11 |         |    0 | 00/0000               | *
    2 |  1 PROGRAMD.S      2 | Comment     | 11 |         |    0 | 00/0000               | * Math Story Problems
    3 |  1 PROGRAMD.S      3 | Comment     | 11 |         |    0 | 00/0000               | *
    4 |  1 PROGRAMD.S      4 | Comment     | 11 |         |    0 | 00/0000               | * (c) 1989, Orange Cherry Software
    5 |  1 PROGRAMD.S      5 | Comment     | 11 |         |    0 | 00/0000               | * (s) 2025, Antoine Vignau
    6 |  1 PROGRAMD.S      6 | Comment     | 11 |         |    0 | 00/0000               | *
    7 |  1 PROGRAMD.S      7 | Empty       | 11 |         |    0 | 00/0000               |                                  
    8 |  1 PROGRAMD.S      8 | Directive   | 00 |         |    0 | 00/0000               |             mx    %00            
    9 |  1 PROGRAMD.S      9 | Directive   | 00 |         |    0 | 00/0000               |             lst   off            
   10 |  1 PROGRAMD.S     10 | Empty       | 00 |         |    0 | 00/0000               |                                  
   11 |  1 PROGRAMD.S     11 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   12 |  1 PROGRAMD.S     12 | Empty       | 00 |         |    0 | 00/0000               |                                  
   13 |  1 PROGRAMD.S     13 | Equivalence | 00 |         |    0 | 00/0000               | GSOS        =     $E100A8        
   14 |  1 PROGRAMD.S     14 | Equivalence | 00 |         |    0 | 00/0000               | VF          =     1              
   15 |  1 PROGRAMD.S     15 | Empty       | 00 |         |    0 | 00/0000               |                                  
   16 |  1 PROGRAMD.S     16 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Event.Macs   
   17 |  1 PROGRAMD.S     17 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Int.Macs     
   18 |  1 PROGRAMD.S     18 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Locator.Macs 
   19 |  1 PROGRAMD.S     19 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Mem.Macs     
   20 |  1 PROGRAMD.S     20 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Misc.Macs    
   21 |  1 PROGRAMD.S     21 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Qd.Macs      
   22 |  1 PROGRAMD.S     22 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Sound.Macs   
   23 |  1 PROGRAMD.S     23 | Directive   | 00 |         |    0 | 00/0000               |             use   4/Util.Macs    
   24 |  1 PROGRAMD.S     24 | Empty       | 00 |         |    0 | 00/0000               |                                  
   25 |  1 PROGRAMD.S     25 | Comment     | 00 |         |    0 | 00/0000               | *-------------------------------
   26 |  1 PROGRAMD.S     26 | Empty       | 00 |         |    0 | 00/0000               |                                  
   27 |  1 PROGRAMD.S     27 | Code        | 00 |         |    1 | 00/0000 : 18          |             CLC                  
   28 |  1 PROGRAMD.S     28 | Code        | 00 |         |    1 | 00/0001 : FB          |             XCE                  
   29 |  1 PROGRAMD.S     29 | Code        | 00 |         |    2 | 00/0002 : C2 30       |             REP   #$30           
   30 |  1 PROGRAMD.S     30 | Code        | 00 |         |    1 | 00/0004 : 4B          |             PHK                  
   31 |  1 PROGRAMD.S     31 | Code        | 00 |         |    1 | 00/0005 : AB          |             PLB                  
   32 |  1 PROGRAMD.S     32 | Macro       | 00 |         |    0 | 00/0006               |             _TLStartUp                 
   34 |  1 PROGRAMD.S     32 | Code        | 00 |         |    3 | 00/0006 : A2 01 02    |             LDX   #$201          ; load tool call #
   35 |  1 PROGRAMD.S     32 | Code        | 00 |         |    4 | 00/0009 : 22 00 00 E1 |             JSL   $E10000        ; go to dispatcher
   36 |  1 PROGRAMD.S     33 | Code        | 00 |         |    3 | 00/000D : F4 00 00    |             PEA   $0000          
   37 |  1 PROGRAMD.S     34 | Macro       | 00 |         |    0 | 00/0010               |             _MMStartUp                 
   39 |  1 PROGRAMD.S     34 | Code        | 00 |         |    3 | 00/0010 : A2 02 02    |             LDX   #$202          ; load tool call #
   40 |  1 PROGRAMD.S     34 | Code        | 00 |         |    4 | 00/0013 : 22 00 00 E1 |             JSL   $E10000        ; go to dispatcher
   41 |  1 PROGRAMD.S     35 | Code        | 00 |         |    1 | 00/0017 : 68          |             PLA                  
   42 |  1 PROGRAMD.S     36 | Code        | 00 |  2      |    3 | 00/0018 : 8D D1 1C    |             STA   L1C99          
   43 |  1 PROGRAMD.S     37 | Code        | 00 |  2      |    3 | 00/001B : 20 5F 20    |             JSR   L2027          
   44 |  1 PROGRAMD.S     38 | Code        | 00 |  2      |    3 | 00/001E : AD D1 1C    |             LDA   L1C99          
   45 |  1 PROGRAMD.S     39 | Code        | 00 |         |    3 | 00/0021 : 29 FF F0    |             AND   #$F0FF         
   46 |  1 PROGRAMD.S     40 | Code        | 00 |         |    3 | 00/0024 : 09 00 01    |             ORA   #$0100         
   47 |  1 PROGRAMD.S     41 | Code        | 00 |  2      |    3 | 00/0027 : 8D D3 1C    |             STA   L1C9B          
   48 |  1 PROGRAMD.S     42 | Macro       | 00 |         |    0 | 00/002A               |             _MTStartUp                 
   50 |  1 PROGRAMD.S     42 | Code        | 00 |         |    3 | 00/002A : A2 03 02    |             LDX   #$203          ; load tool call #
   51 |  1 PROGRAMD.S     42 | Code        | 00 |         |    4 | 00/002D : 22 00 00 E1 |             JSL   $E10000        ; go to dispatcher
   52 |  1 PROGRAMD.S     43 | Code        | 00 |         |    3 | 00/0031 : F4 00 00    |             PEA   $0000          
   53 |  1 PROGRAMD.S     44 | Code        | 00 |         |    3 | 00/0034 : F4 00 00    |             PEA   $0000          
   54 |  1 PROGRAMD.S     45 | Code        | 00 |         |    3 | 00/0037 : F4 00 00    |             PEA   $0000          
   55 |  1 PROGRAMD.S     46 | Code        | 00 |         |    3 | 00/003A : F4 00 10    |             PEA   $1000          
   56 |  1 PROGRAMD.S     47 | Code        | 00 |  2      |    3 | 00/003D : AD D3 1C    |             LDA   L1C9B          
   57 |  1 PROGRAMD.S     48 | Code        | 00 |         |    1 | 00/0040 : 48          |             PHA                  
   58 |  1 PROGRAMD.S     49 | Code        | 00 |         |    3 | 00/0041 : F4 05 C0    |             PEA   $C005          
   59 |  1 PROGRAMD.S     50 | Code        | 00 |         |    3 | 00/0044 : F4 00 00    |             PEA   $0000          
